"","age","sex","race","hispanic","educ","income","born","relig","relig16","owngun","hunt","marital","happy","eatmeat","recycle","health","life"
"1",37,"male","white","not hispanic",11,42838,"yes","none","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",5,"never","fair","dull"
"2",33,"female","white","not hispanic",17,116946,"no","none","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",3,"always","good","exciting"
"3",37,"male","white","not hispanic",14,44431,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",5,"often","good","routine"
"4",44,"female","other","not hispanic",16,100353,"no","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",4,"always","excellent","routine"
"5",52,"female","white","hispanic",18,71749,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","divorced","pretty happy",0,"often","fair","routine"
"6",34,"male","white","not hispanic",20,91071,"no","none","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",0,"always","good","routine"
"7",42,"male","white","not hispanic",13,116627,"yes","none","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",7,"sometimes","fair","routine"
"8",57,"male","other","not hispanic",18,77275,"no","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",4,"sometimes","fair","routine"
"9",82,"female","white","not hispanic",16,34493,"yes","none","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","fair","routine"
"10",50,"male","other","not hispanic",14,41211,"yes","protestant","catholic","no","no, neither r nor spouse hunts","divorced","not too happy",7,"never","fair","routine"
"11",57,"male","other","hispanic",14,48808,"no","none","catholic","no","no, neither r nor spouse hunts","married","very happy",3,"always","excellent","exciting"
"12",33,"male","white","not hispanic",12,73302,"yes","none","none","no","no, neither r nor spouse hunts","never married","pretty happy",1,"always","fair","routine"
"13",65,"male","white","not hispanic",16,12772,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","not too happy",6,"always","excellent","exciting"
"14",43,"male","white","not hispanic",15,71609,"yes","none","none","yes","no, neither r nor spouse hunts","married","pretty happy",0,"always","excellent","exciting"
"15",33,"female","white","not hispanic",12,12468,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","routine"
"16",55,"female","black","not hispanic",15,50095,"yes","protestant","none","no","no, neither r nor spouse hunts","separated","pretty happy",1,"never","good","exciting"
"17",51,"male","white","not hispanic",17,50328,"yes","protestant","catholic","yes","yes, both do","married","pretty happy",5,"always","fair","exciting"
"18",57,"female","white","not hispanic",14,78394,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"19",79,"male","white","not hispanic",20,79631,"no","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"20",68,"male","black","not hispanic",20,90231,"no","none","catholic","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","exciting"
"21",38,"female","white","not hispanic",18,54480,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","excellent","routine"
"22",89,"female","white","not hispanic",16,107651,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",3,"always","good","routine"
"23",63,"female","other","not hispanic",13,22194,"yes","protestant","protestant","no","no, neither r nor spouse hunts","separated","very happy",1,"always","good","exciting"
"24",73,"male","black","not hispanic",16,34462,"yes","none","other","yes","no, neither r nor spouse hunts","married","pretty happy",3,"always","excellent","routine"
"25",37,"male","white","not hispanic",19,114028,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","routine"
"26",67,"female","white","not hispanic",16,107231,"yes","jewish","jewish","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","excellent","exciting"
"27",25,"female","other","not hispanic",16,109097,"no","none","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",2,"always","good","dull"
"28",84,"female","white","not hispanic",16,113347,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"29",63,"female","white","not hispanic",11,83341,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","not too happy",5,"always","good","routine"
"30",74,"female","white","not hispanic",20,68463,"yes","none","none","no","no, neither r nor spouse hunts","married","very happy",0,"always","excellent","exciting"
"31",66,"female","white","not hispanic",14,2959,"yes","none","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","good","exciting"
"32",54,"female","black","not hispanic",16,16756,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",5,"always","good","exciting"
"33",53,"male","white","not hispanic",20,113151,"yes","none","jewish","no","no, neither r nor spouse hunts","never married","not too happy",2,"always","good","routine"
"34",62,"male","white","not hispanic",14,42686,"yes","none","none","yes","no, neither r nor spouse hunts","married","pretty happy",2,"sometimes","good","routine"
"35",65,"female","white","not hispanic",19,88140,"yes","other","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",6,"always","good","dull"
"36",64,"female","white","not hispanic",16,110774,"yes","other","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","fair","exciting"
"37",75,"female","white","not hispanic",16,37288,"yes","jewish","jewish","no","no, neither r nor spouse hunts","married","very happy",2,"always","fair","exciting"
"38",41,"female","black","not hispanic",16,86824,"yes","none","protestant","yes","no, neither r nor spouse hunts","divorced","pretty happy",4,"often","good","routine"
"39",44,"female","white","not hispanic",13,45502,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",7,"always","excellent","exciting"
"40",45,"male","white","not hispanic",14,29156,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","not too happy",2,"never","fair","routine"
"41",41,"male","white","not hispanic",9,111326,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",7,"always","excellent","routine"
"42",37,"female","other","not hispanic",16,95307,"no","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",4,"often","excellent","exciting"
"43",42,"female","other","not hispanic",15,119644,"yes","protestant","protestant","yes","yes, respondent does","never married","not too happy",0,"always","good","routine"
