"","GEOID","county_ID","coastal","total_population","hhs_total","median_hh_income","pct_hisp","pct_less_HS","pct_health_coverage","pct_unemployed"
"1","48001950100","48001",0,5268,1833,69663,9.263,8.742,66.274,6.942
"2","48001950401","48001",0,4763,20,105000,38.547,31.605,100,0
"3","48001950402","48001",0,6540,0,NA,30.673,29.86,100,NA
"4","48001950500","48001",0,4323,1425,47454,32.061,11.473,75.141,2.855
"5","48001950600","48001",0,5448,1988,42949,26.046,13.109,54.706,2.352
"6","48001950700","48001",0,2655,773,36268,21.168,14.713,61.182,3.356
"7","48001950800","48001",0,6394,2844,44464,15.233,8.263,68.981,5.445
"8","48001950901","48001",0,5140,1590,51165,10.214,14.975,47.731,4.821
"9","48001950902","48001",0,4667,1936,67875,7.714,11.14,84.136,1.867
"10","48001951001","48001",0,4527,1423,61090,6.362,5.402,61.05,3.214
"11","48001951002","48001",0,3363,1145,76397,7.612,10.515,80.826,3.379
"12","48001951100","48001",0,4989,1922,72483,10.904,5.699,67.429,3.47
"13","48003950100","48003",0,2450,720,99345,51.429,17.849,58.943,3.393
"14","48003950200","48003",0,7507,2811,87760,49.101,15.246,65.762,2.738
"15","48003950300","48003",0,4777,1845,78713,61.398,36.991,42.549,2.013
"16","48003950400","48003",0,3628,1227,79063,76.047,39.152,62.042,3.276
"17","48005000102","48005",0,5271,1980,62000,9.486,10.556,57.379,4.971
"18","48005000103","48005",0,3292,1030,39750,22.114,28.114,82.54,1.959
"19","48005000104","48005",0,2878,1107,79954,4.517,9.706,62.763,0.4
"20","48005000201","48005",0,2515,1107,44656,14.95,17.309,48.889,6.381
"21","48005000202","48005",0,3368,1057,46202,30.849,21.055,69.609,12.682
"22","48005000301","48005",0,5130,2016,68370,8.441,8.743,70.844,8.953
"23","48005000302","48005",0,5803,2134,71833,16.819,7.187,68.469,6.033
"24","48005000400","48005",0,5016,1956,55608,29.625,25.213,64.834,2.871
"25","48005000500","48005",0,3815,1407,27438,20.472,21.728,58.905,4.762
"26","48005000600","48005",0,6395,1609,59266,61.016,30.893,45.71,5.759
"27","48005000700","48005",0,3471,1135,40590,44.829,28.249,53.685,10.164
"28","48005000800","48005",0,5861,2111,73285,27.026,12.402,74.129,6.711
"29","48005000902","48005",0,3734,1854,51514,13.123,3.315,71.71,11.281
"30","48005000903","48005",0,3023,1282,66389,20.212,7.869,59.214,4.844
"31","48005000904","48005",0,3000,1138,60874,35.133,4.729,45.152,9.743
"32","48005001001","48005",0,5104,1352,49022,32.053,22.796,63.151,7.417
"33","48005001002","48005",0,4157,1493,67675,37.383,17.861,63.857,3.073
"34","48005001101","48005",0,3835,1327,59345,18.305,15.387,44.672,0
"35","48005001102","48005",0,2817,1211,53614,8.023,11.643,84.688,2.354
"36","48005001200","48005",0,2613,1065,40139,0.498,17.872,53.786,7.023
"37","48005001300","48005",0,5510,2212,50000,2.105,9.311,64.562,5.993
"38","48007950101","48007",1,1850,826,62455,3.081,7.084,61.991,3.881
"39","48007950102","48007",1,2963,1642,58606,10.462,7.868,86.396,2.775
"40","48007950103","48007",1,1245,637,59116,1.687,2.855,78.147,0
"41","48007950200","48007",1,1155,701,54554,24.935,1.115,99.561,0
"42","48007950301","48007",1,3323,1531,40274,51.49,16.433,59.746,7.675
"43","48007950302","48007",1,3285,1311,83821,21.461,6.805,96.445,5.288
"44","48007950400","48007",1,3181,1721,40660,39.547,18.189,71.135,8.345
"45","48007950501","48007",1,2244,984,51168,27.317,18.855,57.797,4.413
"46","48007950502","48007",1,2400,1058,59826,39.958,10.718,86.22,3.173
"47","48007950503","48007",1,2402,1001,92969,42.839,13.431,46.924,0
"48","48007990000","48007",1,0,0,NA,NA,NA,NA,NA
"49","48009020100","48009",0,2911,1096,94000,5.084,3.609,75.553,4.449
"50","48009020200","48009",0,2427,1023,60462,6.016,9.101,42.401,4.987
"51","48009020300","48009",0,3311,1248,60000,13.621,13.663,72.681,0.196
